Name of location,City/Municipality,Province,Region 
Bureau of Fire Protection,Sorsogon,,
Asia Medic Hospital,Dasmarinas,,
Brgy. Lalakhan,Sta Maria,,
PNP Check point Sta Maria,Cabagan,,
Brgy. Turayong,Cauayan,,
Fe Del Mundo Medical Center,Quezon City,,
Calamba-Lalakay Establish Quarantine Checkpoint ,Los Banos,,
Brgy. Cabaruan,Cauayan,,
Frontliners and Volunteers Barangay Poblacion III A. Mabini Sta Cruz Laguna,Los Banos,,
Brgy Guadalupe Nuevo Health Workers,Makati,,
Barangay garbage collectors San Nicolas 3 bacoor,Imus,,
 PNP Bagabag,Solano,,
public Transport Office-based Tricycle Regulatory Unit,Taguig,,
SOCO & QCPS,Pasig,,
Charles W. Selby Memorial Hospital Inc. Aparri,Aparri,,
Clark CheckPoint,Angeles,,
"Municipal Health Office Centro West, Allacapan ",Aparri,,
BARANGAY HALL,Bauan,,
South City Hospital ,Molino,,
AFP Susana Heights,Muntinlupa,,
DSWD Opol,Opol,,
"Barangay Pag-asa, Binangonan Rizal",Binangonan,,
Municipal Social Welfare and Development Binangonan,Binangonan,,
SANTIAGO SUR CHECKPOINT,San Fernando,,
"Barangay Wawa, Tanay Rizal",Tanay,,
Barangay Pagrai-1 Checkpoint,Antipolo,,
CATBANGEN CHECKPOINT AND REPACKING VOLUNTEERS,San Fernando,,
SFC WET MARKET CHECKPOINT,San Fernando,,
Lower Manaliti Checkpoint,Antipolo,,
PAGDALAGAN CROSSING CHECKPOINT,San Fernando,,
Barangay Highway Hills Police Checkpoint,Mandaluyong,,
Barangay Santolan,Mandaluyong,,
PNP/traffic enforcers San Fernando boundary,San Fernando,,
PNP/Pulung Bulo volunteers,San Fernando,,
Eastern Police District Headquarter,Pasig,,
Barangay Fortune Marikina Quick Response Team,Pasig,,
PTV-4 Philippine Television,Quezon City,,
DZMM,Quezon City,,
Barangay Mangahan Pasig,Pasig,,
Brgy. Taboc,Opol,,
Brgy. Barra,Opol,,
Brgy. Malanang,Opol,,
Xu Maria Reyna Hospital,Cagayan de Oro,,
Barangay Igpit  ,Opol,,
Barangay Iponan   ,Opol,,
PNP AFP BPAT Concepcion,Ozamis,,
One News,Mandaluyong,,
Barangay BOLO Barangay Police,Catanauan,,
PROVINCIAL HEALTH OFFICE OF DAVAO DEL NORTE,Tagum,,
PNP Station 11 Checkpoint,Zamboanga,,
ABS-CBN Online,Quezon City,,
PNP Tumaga Checkpoint,Zamboanga,,
ABS-CBN News Channel,Quezon City,,
LGU City Hall,Zamboanga,,
Sacred Heart Hospital,Baguio,,
Frontliners and Health workers Palauig check point,Iba,,
Ciudad Hospital,Zamboanga,,
PTV4 -Phil Television,Quezon City,,
Zamboowood,Zamboanga,,
Brgy.Amsic/LGU and volunteers @brgy Amsic Angeles City,San Fernando,,
ALEOSAN DISTRICT HOSPITAL,IloIlo,,
Philippine News Agency,Quezon City,,
Mercedez and Zambowood LGU,Zamboanga,,
Mexico Pampanga  checkpoint,San Fernando,,
Intercontinental Business Corporation,Quezon City,,
CDRRMO ANGELES CITY,Angeles,,
PNP Station 5 Checkpoint,Zamboanga,,
LGU/Control point Cuayan Angeles City,Angeles,,
Radyo ng Bayan,Quezon City,,
HOLY MARY HOSPITAL,IloIlo,,
PNP - Dept. Interior and Local Govt,Bacolod,,
 Paralayunan Mabalacat,Angeles,,
"Saarland Village, Barangay Cupang",Antipolo,,
Pamblui Marcos Highway Checkpoint,Antipolo,,
Department of Education Doctors and Nurses frontliners,Cebu,,
PNP/Military Checkpoint /San Luis,San Fernando,,
RMN FM,Zamboanga,,
San matias Sto tomas checkpoint and Volunteers,San Fernando,,
Verterans Regional Hospital,Solano,,
"Philippines National Police Checkpoint BGC Gate 1, Kalayaan Ave",Mandaluyong,,
mdrmmo,Solano,,
Eagle Base Bravo BF International,Las Pinas,,
rescue team Tam-an rescue ,Solano,,
 Brgy Lactawan,Solano,,
Barangay relief task force Brgy District 2 Cauayan,Cauayan,,
 Brgy Udiawan,Solano,,
San Mateo Integrated Community Hospital,Cauayan,,
Dr. Paulino J. Garcia Memorial Research & Medical Center,Cabanatuan,,
PCP3 Bagong Bayan Taguig,Taguig,,
Santo Rosario Mexico,Angeles,,
PHILIPPINE STAR,Antipolo,,
Bureau of Fire Protection Aurora Isabela ,Cauayan,,
SM Supermarkets Security Guards/Maintenance,Olongapo,,
Brgy. Rizal Sinikway Checkpoint,Iloilo,,
Nagar Rd Corner Aguilar Ave Baranggay Pulang Lupa Dos Checkpoint ,Las Pinas,,
 SM Supermarkets Cashiers/Frontliners,Olongapo,,
"Barangay Social health Workers San Fermin Isabela, COVID 19 task force",Cauayan,,
Dumangas MDRRMC,Iloilo,,
Local Government Unit Brgy. San Roque,Antipolo,,
CALOOCAN CHECKPOINT/barangay caloocan,San Jose,,
Barangay Turayong health workers,Cauayan,,
Cruz Dalida Hospital Inc.,Quezon City,,
Cauayan Medical specialist hospital ,Cauayan,,
2nd pmfc-neppo barangay sto.nino 2nd,San Jose,,
Roxas Provincial Memorial Hospital,Roxas,,
Environment Natural Resources Office,Dumaguete,,
Mary Chiles Hospital,Quezon City,,
PNP CHECKPOINT MARILAO/CALOOCAN BOUNDARY,Meycauayan,,
SM Guards Skeletal force,Cauayan,,
AFP MP TAMBO,Pasay,,
BRGY 33 FRONTLINERS,Manila,,
AFP PHILIPPINE NAVY,Pasay,,
"308 CHECKPOINT,Barangay San Juan",San Jose,,
Meycauyan Doctors Hospital,Meycauayan,,
BRGY 82 FRONTLINERS,Manila,,
Magliman Pnp checkpoint  and Volunteers,San Fernando,,
"Urdaneta Eastern, Pangasinan",Urdaneta,,
Provincial Moblile Force Tayug Pangasinan,Rosales,,
BRGY 310 FRONTLINERS,Manila,,
"Brgy. Bayaoas Council , Checkpoints  PNP/AFP",Urdaneta,,
Afp/pnp checkpoint,Solano,,
BLUMENTTRIT PUBLIC MARKET ORGANIZER,Manila,,
POSU Brgy Luna,Cauayan,,
Bgy Barreto Checkpoint,Olongapo,,
Brgy 22,Laoag,,
KALINGA FOUNDATION INC,Manila,,
Tumauini MENRO,Tumauini,,
BRGY 492 MANILA CHECKPOINT,Quezon City,,
Volunteer Tanod & Ladies Brigade baybay,Pasig,,
Brgy Dilan-Paurido,Urdaneta,,
BRGY 426 MANILA CHECKPOINT,Quezon City,,
BRGY 497 FIRE AND RESCUE VOLUNTEERS,Quezon City,,
San Narciso Rural Health Unit,Olongapo,,
Department of Social Welfare Development,Quezon City,,
Zambales Medical Mission Group Hospital,Olongapo,,
JASA/NLEX Pnp checkpoint and Volunteers,San Fernando,,
BALUMPARE FIRE STATION VOLUNTEERS,Quezon City,,
BRGY 324 MANILA CHECKPOINT,Quezon City,,
 Baranggay Pedrosa BF Resort Village,Las Pinas,,
Baranggay Carnival Park BF Resort Village,Las Pinas,,
Lourdes Hospital - Olongapo,Olongapo,,
 bryg rosario health center,Santiago City,,
Team  Parco Frontliners Checkpoint ,Las Pinas,,
PNP Agoo,Agoo,,
Brgy. Dominican Mirador ,Baguio,,
MALACANANG PALACE,Manila,,
Brgy San Vicente Sto.Tomas,Sto Tomas,,
"PNP Police, BFP, Medical and LGU Personnel",Alaminos,,
San Antonio Checkpoint,Sto Tomas,,
Mexico PNP checkpoint,San Fernando,,
Brgy. Pinsao Proper,Baguio,,
Brgy San Rafael Sto. Tomas Batangas,Sto Tomas,,
Brgy Villa Nava Health Workers,Gumaca,,
BCPO Station 8 Camp 7,Baguio,,
Brgy. Upper Rock Quarry,Baguio,,
Brgy Rizal Health Workers,Gumaca,,
Brgy Mabini Frontliners ,Gumaca,,
Brgy. Dizon,Baguio,,
"Brgy 24, Tanods",Laoag,,
 Brgy. East Bayan Park,Baguio,,
PNP/Military Checkpoint,San Fernando,,
Tanza Waste Disposal Unit,Tanza,,
Naval Intelligence & Security Forces (NISF),Pasig,,
"MENRO A. Soriano Highway, Tanza Cavite",Tanza,,
Pres. Fidel V. Ramos gym,Baguio,,
Brgy. Julugan 6,Tanza,,
Brgy. Tabun,Angeles,,
"Brgy Pinagbakahan, San Pablo, Sto. Nino",Malolos,,
Bureau of Fire,Olongapo,,
Brgy. Health Center,Tanza,,
Bgy Pagasa Frontliners,Olongapo,,
PNP Calinan Police Station,Davao ,,
LGU Agoo,Agoo,,
Brgy. Bangkas Heights Toril ,Davao ,,
"Barangay Caysio, Sta. Maria, Bulacan",Santa Maria,,
Malolos Market Task Force,Malolos,,
AFP,Davao ,,
Rural Health unit Lgu Cauayan city,Cauayan,,
Brgy. Amaya 1,Tanza,,
New Lucban Rural Health Center,Baguio,,
Philippine Disaster Resillience Foundation,Angeles,,
Armed Forces of the Philippines,Quezon City,,
Barangay Lupon Fairview,Baguio,,
DSWD CAR,Baguio,,
 Our Lady of Mt. Carmel Hospital,San Fernando,,
Bulacan Medical Center ,Malolos,,
PNP  SAN MANUEL CHECKPOINT,Valencia,,
Santisima Trinidad Hospital,Malolos,,
Camp Olivas Regional Office,San Fernando,,
Business World,Quezon City,,
Team BQ Cp Canaynay Frontliners,Las Pinas,,
Armed Forces of the Philippines - National Capital Region,Quezon City,,
Department of Interior and Local Government,Caloocan,,
SLU Hospital of the Sacred Heart,Baguio,,
Caloocan Checkpoint,Quezon City,,
Pajac Health Center,Lapu Lapu,,
RED CROSS LAPU-LAPU & CORDOVA  CHAPTER,Lapu Lapu,,
CBRN PERSONNEL FOXTROT COY,Lapu Lapu,,
Cebu City Jail Male Dormitory  Frontliners,Cebu,,
brgy health center,Santiago Bayan,,
Station 9 Brgy  Guada Kalunasan Frontliners,Cebu,,
Basilan General Hospital,Isabela,,
Brgy. Oguis Tanod / Com. Health Nurse / DSWD Volunter (Danao City),Danao,,
LGU TINAMBAC CHECKPOINTS,Goa,,
 Brgy. Capaya,Angeles,,
 Barangay Bucana Proper,Davao ,,
Brgy. Sacsac Tanod / Com. Health Nurse / DSWD Volunter (Danao City),Danao,,
Brgy. Sandayung Sur Tanod / Com. Health Nurse / DSWD Volunter (Danao City),Danao,,
DSWD Mandaue Cebu,Mandaue,,
MOBILE PATROL UNIT,Naga,,
Urology Center of the Philippines,Quezon City,,
CDO City Health ,Cagayan de Oro,,
"Barangay Labogon, Mandaue Cebu",Lapu Lapu,,
Brgy Nazareth Frontliners,Cagayan de Oro,,
Barangay Tabok Frontliners officials,Lapu Lapu,,
Brgy. San Felix ,Sto Tomas,,
PNP Checkpoint Diversion Maulong,Catbalogan,,
PNP Cagsalaosao Checkpoint,Calbayog,,
 Brgy. Dos Cabuyao Retail Plaza,Cabuyao,,
Pahinga Norte Checkpoint ,Candelaria,,
Barangay 1 Checkpoint,Lipa,,
Taal Checkpoint,Lemery,,
"PNP SAN MIGUEL, LEYTE CHECKPOINT",Alangalang,,
ALVAREZ POLICE CHECKPOINT,Manila,,
HOLY INFANT JESUS,Manila,,
PNP Ipao Checkpoint,Calbayog,,
 PNP Barracks (San Pedro) ,Davao ,,
Concepcion LGU's,Iloilo,,
Barangay Pinagkaisahan Rescue Team,Makati,,
"Barangay Guinhawa, Barangay Barihan, Barangay Catmon",Malolos,,
 AFP Checkpoint Capiz and Calinog Areas,Passi,,
El Salvador Health Center,Cagayan de Oro,,
 Police Station 4 Don Bosco Paranaque City,Paranaque,,
Angel Salazar Memorial General Hospital,Dumaguete,,
BFP Iloilo,Iloilo,,
Paranaque Medical Center,Paranaque,,
Santos General Hospital,Malolos,,
Brgy. Quirino 3A,Quezon City,,
Bacolod City Health Medical Team,Bacolod,,
Rhu paombong b. Rhu Malolos c. San Roque Hospital,Malolos,,
Riverside Medical Hospital,Bacolod,,
Brgy. Balzain Health Workers Tuguegarao City,Tuguegarao,,
Department of the Interior and Local Government,Quezon City,,
Brgy. Salvacion,Quezon City,,
Frontliers PMJ Diane Del Rosario,Carmona,,
Juana Binan Checkpoint,Carmona,,
St. Lukes Medical Center Quezon City,Quezon City,,
PNP Carmona,Carmona,,
Purok 22 San Calos Heights Barangay,Baguio,,
" Barangay Tadiangan Tuba, Benguet",Baguio,,
Barangay San Rafael,San Pablo,,
HOSPITAL OF MERCY,Gen Trias,,
Barangay Colago Checkpoint,San Pablo,,
Barangay 6 Checkpoint,Calamba,,
Barangay San Juan Checkpoint,Calamba,,
Barangay 2 Tibag Checkpoint ,Calamba,,
Municipal Government of Calauan ,Bae,,
PNP Nightshift Checkpoint ,Tuguegarao,,
Red Cross Pila,Bae,,
The Medical City South Luzon,Sta Rosa,,
ICMC Laboratory and Emergency  Department,Cabanatuan,,
PNP/Military,San Fernando,,
Barangay Casile Checkpoint,Banlic,,
Barangay Paradahan 2 Checkpoint,Tanza,,
"DR.Amando L.Garcia Medical center, Inc.",San Fernando,,
BFP Tayug Pangasinan,Rosales,,
PNP Tayug Pangasinan,Rosales,,
Bicol Regional and Training Hospital ,Legazpi,,
"Chief Police Unit Rizal, Legazpi City ",Legazpi,,
municipal disaster risk reduction and management Office. ,Cauayan,,
Rural health unit Luna Isabela,Cauayan,,
Barangay East Tapinac Frontliners Frontliners/Healthworkers,Olongapo,,
Botolan Hospital ,Iba,,
PNP  HeadQuarters Muntinlupa La guerta checkpoint,Manila,,
MDRRMO San Narciso,Olongapo,,
PNP  South Luzon Susana Heights checkpoint  ,Manila,,
BHW BALUARTE,Santiago,,
Barangay Magsaysay Check Point,Atimonan,,
St. Paul Hospital ,Candelaria,,
Rural Health Unit,Candelaria,,
Regional Health Unit of San Andres,Catanauan,,
"Brgy North Signal, Taguig City ",Taguig,,
health workers and tanod of marikina heights and san isidro cainta,Makati,,
EVACOM CHECKPOINT ,Paranaque,,
APFOVAI health Center ,Taguig,,
Checkpoint TAMBO TASK FORCE - B ,Pasay,,
Checkpoint TAMBO TASK FORCE - A ,Pasay,,
PNP checkpoint ,Manila,,
Brgy Frontliners DWSD enumerators ,Taguig,,
 Brgy Palingon checkpoint taguig ,Taguig,,
San Andres Municipal Repacking Team Volunteers,Catanauan,,
Brgy San Miguel checkpoint taguig,Taguig,,
San Andres Municipal Disaster Risk Reduction and Management Command Center,Catanauan,,
BPAT and BHW Poblacion 1 Oroquieta,Ozamis,,
Brgy Ususan checkpoint taguig,Taguig,,
San Andres Municipal Social Works Department,Catanauan,,
San Andres Municipal Police Command,Catanauan,,
PNP Tanza ,Tanza,,
Barangay Julugan Health Unit,Tanza,,
Barangay Bagtas Checkpoint,Tanza,,
PNP Batangas City,Batangas,,
"Barangay Wawa, Batangas City",Batangas,,
CANDELARIA MUNICIPALITY CHECKPOINT,Candelaria,,
St. Rafael Dialysis Center,Lemery,,
Palanca San Jose Checkpoint,Lipa,,
Dept of Social Welfare and Decelopemnt - Wangal Office,La Trinidad,,
Brgy. Inerangan Checkpoint/ Brgy. Magsaysay Checkpoint / Brgy. Cayucay Checkpoint,Alaminos,,
PNP Bayambang - Brgy. Nalsian Sur Highway Boundary Checkpoint,Bayambang,,
PNP/BUREAU OF FIRE PROTECTION Bayambang - Brgy. San Vicente Highway Boundary Checkpoint,Bayambang,,
RHU OF BULAKAN BULACAN,Guiguinto,,
Brgy. MALUED DAGUPAN CHECKPOINT AND BARANGAY HEALTH WORKERS (BHW) ,Dagupan,,
Benito Soliven - RHU,Ilagan,,
Brgy. 5 Police & Volunteer,Catanauan,,
Catablan Checkpoint,Urdaneta,,
PNP Balungao,Carmen,,
 Sacred Heart Urdaneta ,Urdaneta,,
PNP Check point,Roxas,,
PNP Laoac ,Binalonan,,
Lyceum Hospital,Aparri,,
Kapt Olan St Checkpoint,Lipa,,
San Miguel Arc checkpoint,San Ildefonso,,
BRGY. PACABIT POLICE AND VOLUNTEERS,Catanauan,,
BRGY. MADULAO POLICE AND VOLUNTEERS,Catanauan,,
Maasim Galas Checkpoint,San Ildefonso,,
BRGY. 10 POLICE AND VOLUNTEERS,Catanauan,,
RHU San Bernardo,Cabagan,,
Sta. Ana Hospital,Pasay,,
Adventis Medical Center,Pasay,,
PNP PASAY MARITIME CHECKPOINT,Pasay,,
BALIUAG Municipal Disaster Risk Reduction and Management OFFICE,San Ildefonso,,
Pantoc Barangay Hall,Meycauayan,,
Bagbaguin Barangay Hall,Meycauayan,,
Bahay Pare Barangay Hall,Meycauayan,,
BRGY. 245,Manila,,
Santiago Medical Center,Santiago Bayan,,
The Premier Medical Center,Pasay,,
BRGY. 574,Quezon City,,
Brgy. Lourdes ,Angeles,,
PRECINCT 2,Quezon City,,
Checkpoint San Jose City ,San Jose,,
Inter Agency Municipality of Apalit Pampanga ,Apalit,,
BRGY. BACLARAN,Manila,,
Barangay Sampaloc,Apalit,,
BRGY. 124,Pasay,,
Barangay Cansinala,Apalit,,
MANILA POLICE STATION 2,Manila,,
Sto thomas checkpoint,San Fernando,,
Barangay Paligui,Apalit,,
SAN NICOLAS CHECKPOINT,Antipolo,,
PNP CABANATUAN - Sta Rosa Boundary,Cabanatuan,,
POLICE STATION 2,Antipolo,,
PNP CHECKPOINT CABANATUAN - Talavera Boundary,Cabanatuan,,
PNP CHECKPOINT,Munoz,,
UDMC Hospital,Manila,,
CABANATUAN-PALAYAN CHECKPOINT,Cabanatuan,,
CABANATUAN - Palayan CHECKPOINT,Cabanatuan,,
Dau CheckPoint,Angeles,,
Brgy. Sto Rosario Mexico,Mexico,,
Brgy. Sta Lucia Sta Ana Checkpoints,Mexico,,
 Brgy San Lorenzo Mexico,Mexico,,
Floridablanca Checkpoint,San Fernando,,
Brgy. 412,Manila,,
Sta. Rita Checkpoint,San Fernando,,
Las Pinas General Hospital,Pasay,,
Solana Police Station,Tuguegarao,,
PNP Checkpoint Solano,Solano,,
Que Medical Hospital ,Tumauini,,
BAGUIO GENERAL HOSPITAL Checkpoint (Corporal Mateo),Baguio,,
Police Station Checkpoint 9 ,Baguio,,
PNP Station 1 Baguio City,Baguio,,
LGU-MALAPATAN/Municipal Health Unit,Gen Santos,,
Bocaue Checkpoint at Wakas,Meycauayan,,
"Check Points of Bocaue - Tambubong, Batya, Camalig, Caingin, Turo, Bolacan Lolomboy",Meycauayan,,
PNP Kaylaway Checkpoint,Nasugbu,,
Pasig and Cainta PCP,Pasig,,
Tiaong Quezon Health Workers,Tiaong,,
Carmona Boundary Checkpoint,Sta Rosa,,
ESCOPA PCP,Antipolo,,
"Barangay Cuyab, San Pedro",Sta Rosa,,
"Brangay Darasa, Tanauan",Lipa,,
Calumpang Multi Purpose Cooperative,Binangonan,,
Barangay 2 Health worker volunteers ,Lipa,,
Barangay 2 Checkpoint,Lipa,,
"PNP San Pedro Bauan, Batangas",Bauan,,
RHU MANAOAG,Manaoag,,
Barangay Checkpoint Bayang Luma,Imus,,
Brgy Amobocan Checkpoint,Cauayan,,
PNP Cabanatuan  (Sangitan Market Checkpoint),Cabanatuan,,
 PNP Pozorrubio,Pozorrubio,,
City of Imus Traffic Management Office,Imus,,
Nueva Ecija Doctors Hospital Inc.,Cabanatuan,,
PNCO - PNP BULUA POLICE STATION CAGAYAN DE ORO CITY,Cagayan de Oro,,
 RHU Pozorrubio,Pozorrubio,,
Barangay Checkpoint (Orchard - Anabu),Imus,,
Pozorrubio Community Hospital,Pozorrubio,,
Brgy Sto Niño 3rd Checkpoint,San Jose,,
Bulanao Checkpoint Tabuk,Tabuk,,
AFP Quarantine Points,Iloilo,,
"Checkpoint at San Isidro, Subic, Zambales",Olongapo,,
Subic TMB & Marshalls,Olongapo,,
Checkpoint at Baraca-Camachile,Olongapo,,
Medical City Hospital   ,Iloilo,,
Talavera Health Worker,Talavera,,
Brgy. City Hall Food Packers Team,Batangas,,
San Rafael Galas Maasim Bridge Checkpoint Team,San Ildefonso,,
"Brgy. San Jose, Navotas City",Malabon,,
Navotas City Hospital,Malabon,,
"MUNICIPAL HEALTH OFFICE, ALAMADA, COTABATO",Midsayap,,
Brgy Kumintang Ibaba LGU,Batangas,,
"LGU Batangas, Sta. Clara",Batangas,,
San Miguel Arc Checkpoint Team,San Ildefonso,,
Disease Surveillance Office Sariaya,Sariaya,,
Brgy Sampaloc 1 Checkpoint,Sariaya,,
CHECKPOINT IN CDO,Gen Santos,,
PUERTO POLICE BOGO,Cagayan de Oro,,
Brgy. Mamala 1&2 Health Care Center,Sariaya,,
West Metro Medical Center,Zamboanga,,
Zamboanga Peninsula Hospital,Zamboanga,,
"Peter Paul Hospital, Candelaria, Quezon",Candelaria,,
Mayor’s Office - Public Market Checkpoint,Iba,,
PNP TAFT ARNAIZ AND CARTIMAR CHECKPOINT,Pasay,,
Delos Reyes Hospital,Pinamalayan,,
BUREAU OF QUARANTINE PASAY,Pasay,,
Oriental Mindoro Central District Hospital ,Pinamalayan,,
BRGY BULUA,Cagayan de Oro,,
601B CHECKPOINT TAGUM,Tagum,,
PNP MALIBAY SUBSTATION 6,Pasay,,
Pinamalayan Doctors Hospital,Pinamalayan,,
Baguio City Sanitation Department,Baguio,,
AFP CAVITEX,Pasay,,
Bgry 1 PNP Station,Lipa,,
AFP ZAPOTE,Pasay,,
Zambo LGU ,Zamboanga,,
BRGY 147 ZONE 17,Pasay,,
City Traffic Management Office,San Pablo,,
PNP BACLARAN SUBSTATION 5,Pasay,,
BRGY. 76-A DSWD,Davao,,
"Barangay Malagonlong Checkpoint, Lipa City",Lipa,,
Cagayan de Oro Medical Center ,Cagayan de Oro,,
San Juan De Dios Hospital,Paranaque,,
Brgy 145,Paranaque,,
Bgy. 145 ,Paranaque,,
Rosario San Pedro-Binan Checkpoint,Carmona,,
PNP MARICABAN PASAY CITY CHECKPOINT,Pasay,,
Brangay Poblacion,Muntinlupa,,
Brgy. 336,Manila,,
Brgy. Bago Aplaya Health Workers and Barangay Police,Davao,,
Brgy. Dumoy Health Workers and Barangay Police,Davao,,
State University Batangas,Lemery,,
Butuan Medical Health Office,Butuan,,
Red Cross General Santos City Chapter,Gen Santos,,
PNP Taal Batangas,Lemery,,
Tanauan City Checkpoint Entry Point 1,Tanauan,,
Community Health & Development Cooperative Hospital,Davao,,
"PNP, JC Aquino Ave. Brgy. Diego Silang Butuan City, Agusan Del Norte",Butuan,,
Malta Medical Center,Davao,,
St. Felix Medical Hospital,Davao,,
Medical Health Office - Surigao City,Butuan,,
Brgy. Lagao Health and Emergency Response Team,Gen Santos,,
Sagnay Regional Health Unit,Goa,,
Tigaon Regional Health Unit,Goa,,
Brgy Sta Magdalena Checkpoint,San Pablo,,
CENTRAL POLICE UNIT RIZAL ST,Legazpi,,
PNP Inagawan & Isaub Checkpoint,Puerto Princesa,,
GOA Regional Health Unit,Goa,,
PNP Bancao Bancao Checkpoint ,Puerto Princesa,,
Lagonoy Regional Health Unit,Goa,,
Mother Seton Hospital ,Naga,,
Naga Imaging Center Cooperative Doctors Hospital,Naga,,
Barangay San Mateo Post,Naga,,
Pamplona Regional Health Unit,Naga,,
Canaman Local Government Unit,Naga,,
 Local Government Unit-Barangay Junob,Dumaguete,,
Elias Angeles St. Post,Naga,,
Barangay Santo Tomas ,Naga,,
Barangay San Marcos ,Naga,,
Local Government Unit-Barangay Bonbonon,Dumaguete,,
AFP Lucena City,Lucena,,
Finance PNP,Pasig,,
"J, Hernandez Abella Post",Naga,,
PNP San Miguel Checkpoint,Puerto Princesa,,
Sitio Langhaya Brgy. Dela Paz Antipolo City,Antipolo,,
Brgy. San Jose Lipa,Lipa,,
Brgy. San Francisco Gen. Trias,Imus,,
SK Brgy. Sta. Cristina 2,Imus,,
PNP,Puerto Princesa,,
St.Cabrini Hospital ,Sto Tomas,,
St. Paul Hospital,Imus,,
BRGY. SAN DIONISIO,Las Pinas,,
Tanauan City Checkpoint,Tanauan,,
Barangay San Miguel Checkpoint,Sto Tomas,,
Citizen's Crime Watch,Imus,,
BRGY. KASILAWAN,Makati,,
Brgy. Paciano Rizal Calamba,Sta Rosa,,
Unihealth Southwoods Hospital and Medical Center,San Pedro,,
MAKATI ACTION CENTER,Makati,,
Pulong Sta. Rosa Checkpoint,Sta Rosa,,
Barangay San Pablong Nayon Checkpoint ,Sto Tomas,,
Brgy Fatima II,Dasmarinas,,
Bureau of Fire Protection Santo Tomas,Sto Tomas,,
AFP,Daet,,
Kabalikat news,Zamboanga,,
Brgy. 3 Checkpoint,Tanauan,,
Brgy. 3 Health Center,Tanauan,,
Brgy Emmanuel Bergado 1,Dasmarinas,,
DRRMO Brgy. Tunasan Muntinlupa,Muntinlupa,,
Darasa Checkpoint,Tanauan,,
Westlake Medical Clinic,Sta Rosa,,
BRGY. SAN JOAQUIN CHECKPOINT,Makati,,
Barangay Silang San Juan,Pasig,,
Brgy Wawa ,Rosario,,
Pulang Lupa Dos,Muntinlupa,,
Brgy. Dita Santa Rosa Checkpoint,Sta Rosa,,
Brgy. 600 zone 59 Sta.mesa Manila,Pasig,,
Binan/San Pedro Boundary Checkpoints,Sta Rosa,,
Bureau of Fire- Decon Incharge,Cadiz,,
Evacom Paranaque Checkpoint,Muntinlupa,,
Brgy. Crame San Juan,Pasig,,
Brgy. Guis-Guis Talon Health Care Center,Sariaya,,
Ospital ng Paranaque,Muntinlupa,,
Brgy. San Roque Health Care Center,Sariaya,,
Brgy. Manggalang 1 Health Care Center,Sariaya,,
Pasig City Emergency Unit,Pasig,,
Vice Mayor/Sangguniang Bayan Members,Pinamalayan,,
Libis Binangonan Rizal,Binangonan,,
Red Cross Pasig and Pateros Branch,Pasig,,
Pinamalayan Municipal Health Office,Pinamalayan,,
Brgy. Banaba San Mateo Rizal,Antipolo,,
Porac Traffic Enforcer,Angeles,,
Brgy. Sampaga Frontliners,Batangas,,
Brgy. Industrial Valley Complex,Pasig,,
AFP Sitio Calo Nasugbu Batangas,Nasugbu,,
VRP Hospital,Pasig,,
Brgy. Mayamot Penafrancia 2,Antipolo,,
Disinfection Unit,San Fernando,,
Brgy. 3 Lian Checkpoint,Nasugbu,,
Primark Cainta Valley Golf Checkpoint,Antipolo,,
Bantay Bayan Pateros Chapter,Pateros,,
Eastern Police District- Pasig,Pasig,,
Brgy. 2 Checkpoint,Lipa,,
Sangguniang Kabataan - Kalumpang,Marikina,,
Sumacab Este Minatula Bridge PNP Checkpoint,Cabanatuan,,
Brgy San Carlos Checkpoint,Lipa,,
AFP Sorsogon,Sorsogon,,
Premiere Medical Hospital,Manila,,
AFP/PNP San Luis Batangas,Lemery,,
Brgy Highway Hills,Mandaluyong,,
Brgy. San Agustin Checkpoint,Tiaong,,
Municipality of Los Banos,Sta Rosa,,
Golden Oasis Personnel,Molino,,
RURAL HEALTH UNIT CANDELARIA,Candelaria,,
PNP Checkpoint San Manuel ,Puerto Princesa,,
De La Salle Health Sciences Institute (DLSHSI),Imus,,
Brgy Tanglaw ,Puerto Princesa,,
RMN - Radio news network,Zamboanga,,
Brgy Bayog Los Banos CHECKPOINT ,Calamba,,
Barangay Sta. Barbara,Zamboanga,,
Task Force COVID,Zamboanga,,
PNP Checkpoint Bancao Bancao,Puerto Princesa,,
BRGY. SAPAAN CHECKPOINT,Atimonan,,
PNP Checkpoint San Miguel,Puerto Princesa,,
BRGY. TAGBAKIN CHECKPOINT,Atimonan,,
RURAL HEALTH UNIT-MAGARAO,Naga,,
City Health Workers,Puerto Princesa,,
LGU CALABANGA,Naga,,
Brgy Mapagong,Canlubang,,
PNP Station 11,Zamboanga,,
NAGA CITY HEALTH CENTER,Naga,,
Brgy Molino 1 and Bayanan,Molino,,
Barangay Frontliners,Zamboanga,,
ELIAS ANGELES POLICE POST,Naga,,
Bucandala 4 Checkpoint,Imus,,
Brgy Payapa Ilaya ,Lemery,,
RURAL HEALTH UNIT-CAMALIGAN,Naga,,
Brgy District 2,Lemery,,
Brgy District 4 ,Lemery,,
GENERAL LUNA POLICE POST,Naga,,
PNP Station 4,Zamboanga,,
Lodlod Balagabag Checkpoint,Lipa,,
Poblacion 4,Tanauan,,
LDB ,Calamba,,
